Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Age,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
5024917,F,N,Y,0,153382.3096153846,Pensioner,Secondary / secondary special,Married,House / apartment,-21832.0,60,-4,1,0,1,0,Core staff,2,1
5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996.0,55,-2,1,0,0,0,Managers,2,1
5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-12026.0,33,-13,1,0,0,0,Cleaning staff,2,1
5029311,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21876.0,60,-4,1,0,1,1,Core staff,2,1
5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-10749.0,29,-7,1,0,0,0,Laborers,1,1
5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15952.0,44,-1,1,1,0,0,Sales staff,3,1
5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13015.0,36,-10,1,0,0,0,Core staff,2,1
5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-20333.0,56,-4,1,0,0,0,Drivers,2,1
5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-21055.0,58,-2,1,0,0,0,Drivers,2,1
5036660,F,Y,Y,0,76500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23835.0,65,-4,1,0,0,0,Core staff,2,1
5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19175.0,53,-4,1,0,1,0,Laborers,2,1
5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,-16169.0,44,-2,1,1,1,0,Core staff,1,1
5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-16053.0,44,-20,1,1,1,0,Core staff,4,1
5045888,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286.0,64,-4,1,0,0,0,Core staff,1,1
5045894,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286.0,64,-4,1,0,0,0,Core staff,1,1
5045895,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-23286.0,64,-4,1,0,0,0,Core staff,1,1
5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15466.0,42,-6,1,0,1,0,Low-skill Laborers,3,1
5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15466.0,42,-6,1,0,1,0,Low-skill Laborers,3,1
5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18880.0,52,-11,1,0,0,0,Accountants,3,1
5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,30,-3,1,0,0,0,Laborers,3,1
5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,30,-3,1,0,0,0,Laborers,3,1
5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,50,-20,1,1,0,0,Laborers,2,1
5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,50,-20,1,1,0,0,Laborers,2,1
5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-11610.0,32,0,1,1,1,0,High skill tech staff,1,1
5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,26,-2,1,0,0,0,Laborers,3,1
5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,26,-2,1,0,0,0,Laborers,3,1
5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,28,-2,1,0,0,1,IT staff,2,1
5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,28,-2,1,0,0,1,IT staff,2,1
5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,49,-9,1,0,0,0,Drivers,2,1
5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,49,-9,1,0,0,0,Drivers,2,1
5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,49,-9,1,0,0,0,Drivers,2,1
5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667.0,51,-6,1,1,0,0,Managers,2,1
5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,45,-4,1,0,0,0,Drivers,3,1
5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,45,-4,1,0,0,0,Drivers,1,1
5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16611.0,46,-23,1,0,0,0,Core staff,4,1
5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16611.0,46,-23,1,0,0,0,Core staff,4,1
5058345,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,67,-4,1,0,0,0,Core staff,1,1
5058348,F,N,Y,0,153382.3096153846,Pensioner,Higher education,Separated,House / apartment,-24611.0,67,-4,1,0,0,0,Core staff,1,1
5058350,M,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,67,-4,1,0,0,0,Core staff,1,1
5058352,F,N,Y,0,99000.0,Pensioner,Higher education,Separated,House / apartment,-24611.0,67,-4,1,0,0,0,Core staff,1,1
5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,25,-1,1,0,0,0,Sales staff,1,1
5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,25,-1,1,0,0,0,Sales staff,1,1
5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16047.0,44,-1,1,0,0,0,Sales staff,1,1
5061360,M,N,Y,0,65250.0,Pensioner,Higher education,Married,House / apartment,-20872.0,57,-4,1,0,0,0,Core staff,2,1
5061396,M,N,Y,0,72900.0,Pensioner,Lower secondary,Married,House / apartment,-23423.0,64,-4,1,0,0,0,Core staff,2,1
5061636,F,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21664.0,59,-4,1,0,1,0,Core staff,2,1
5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122.0,25,-4,1,0,0,1,Waiters/barmen staff,3,1
5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,35,0,1,0,0,0,Laborers,2,1
5062137,M,N,Y,1,187619.32019704435,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,35,0,1,0,0,0,Laborers,2,1
5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-15160.0,42,-11,1,0,0,0,High skill tech staff,2,1
5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19004.0,52,-4,1,0,0,0,Core staff,2,1
5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-9510.0,26,-8,1,0,0,0,Laborers,3,1
5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-14052.0,38,0,1,0,1,0,Sales staff,2,1
5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13581.0,37,-7,1,0,0,0,Core staff,2,1
5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-11210.0,31,-5,1,1,0,0,Accountants,2,1
5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-11210.0,31,-5,1,1,0,0,Accountants,2,1
5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15640.0,43,-4,1,0,0,0,Core staff,2,1
5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14476.0,40,-14,1,0,0,0,High skill tech staff,4,1
5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253.0,34,-10,1,1,0,0,Core staff,3,1
5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253.0,34,-10,1,1,0,0,Core staff,3,1
5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,38,-4,1,0,0,0,Laborers,2,1
5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,38,-4,1,0,0,0,Laborers,2,1
5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,38,-4,1,0,0,0,Laborers,2,1
5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-18661.0,51,-3,1,0,0,0,Managers,2,1
5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-20264.0,56,-7,1,1,1,0,Accountants,2,1
5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12755.0,35,-6,1,0,0,0,Core staff,3,1
5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15452.0,42,-2,1,0,0,0,Security staff,2,1
5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,29,-1,1,0,0,0,Laborers,2,1
5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,29,-1,1,0,0,0,Laborers,2,1
5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-17320.0,47,-1,1,0,0,0,Laborers,4,1
5092245,F,N,N,0,103500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22111.0,61,-4,1,0,0,0,Core staff,2,1
5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15014.0,41,-19,1,0,0,0,Core staff,3,1
5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,55,-2,1,0,0,0,Core staff,1,1
5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,55,-2,1,0,0,0,Core staff,1,1
5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803.0,46,-6,1,1,1,0,Cleaning staff,1,1
5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-18971.0,52,-22,1,0,0,0,Managers,2,1
5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16310.0,45,-2,1,0,0,0,Laborers,1,1
5105045,M,N,Y,0,225000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-22939.0,63,-4,1,0,0,0,Core staff,1,1
5105056,M,Y,N,0,224775.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-11528.0,32,-2,1,0,1,1,High skill tech staff,1,1
5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19764.0,54,-19,1,0,0,0,Medicine staff,2,1
5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-19406.0,53,-1,1,0,0,0,Security staff,1,1
5113933,F,N,N,0,67500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23271.0,64,-4,1,0,1,0,Core staff,1,1
5113944,F,Y,N,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23324.0,64,-4,1,0,1,0,Core staff,2,1
5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331.0,31,-5,1,1,1,0,Core staff,3,1
5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331.0,31,-5,1,1,1,0,Core staff,3,1
5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,40,-9,1,0,0,0,Core staff,2,1
5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,40,-9,1,0,0,0,Core staff,2,1
5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,40,-9,1,0,0,0,Core staff,2,1
5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,40,-9,1,0,0,0,Core staff,2,1
5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14523.0,40,-9,1,0,0,0,Core staff,2,1
5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,40,-2,1,1,0,0,Managers,1,1
5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,40,-2,1,1,0,0,Managers,1,1
5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17468.0,48,-20,1,0,0,0,Core staff,6,1
5116301,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,62,-4,1,0,0,0,Core staff,2,1
5116302,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,62,-4,1,0,0,0,Core staff,2,1
5116304,F,N,Y,0,180000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,62,-4,1,0,0,0,Core staff,2,1
5116305,F,N,Y,0,153382.3096153846,Pensioner,Secondary / secondary special,Married,House / apartment,-22655.0,62,-4,1,0,0,0,Core staff,2,1
5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15047.0,41,-21,1,0,0,0,Core staff,2,1
5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13022.0,36,-11,1,1,1,0,Laborers,3,1
5117413,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Separated,House / apartment,-22279.0,61,-4,1,0,1,0,Core staff,1,1
5118046,F,N,N,0,81000.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-23902.0,65,-4,1,0,1,0,Core staff,1,1
5118275,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,59,-4,1,0,0,0,Core staff,2,1
5118278,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,59,-4,1,0,0,0,Core staff,2,1
5118279,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,59,-4,1,0,0,0,Core staff,2,1
5118280,F,N,N,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,Municipal apartment,-21363.0,59,-4,1,0,0,0,Core staff,2,1
5118283,M,N,N,0,112500.0,Pensioner,Secondary / secondary special,Married,Municipal apartment,-21363.0,59,-4,1,0,0,0,Core staff,2,1
5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-18132.0,50,-3,1,0,1,0,Laborers,2,1
5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-13939.0,38,0,1,0,0,0,Laborers,2,1
5125299,F,N,Y,0,148500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20846.0,57,-4,1,0,0,0,Core staff,2,1
5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,45,-2,1,0,1,0,High skill tech staff,2,1
5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,45,-2,1,0,1,0,High skill tech staff,2,1
5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-18020.0,49,-4,1,0,0,0,Cooking staff,1,1
5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13030.0,36,-4,1,0,1,0,Laborers,3,1
5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-9862.0,27,-5,1,1,0,0,Sales staff,4,1
5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,55,-2,1,0,0,0,Security staff,2,1
5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,55,-2,1,0,0,0,Security staff,2,1
5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,55,-2,1,0,0,0,Security staff,2,1
5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,29,-5,1,0,0,0,Core staff,1,1
5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,29,-5,1,0,0,0,Core staff,1,1
5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-18836.0,52,-3,1,1,1,0,Laborers,2,1
5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,29,-2,1,0,0,0,Managers,2,1
5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,29,-2,1,0,0,0,Managers,2,1
5142183,M,Y,Y,2,356029.4117647059,Commercial associate,Higher education,Married,House / apartment,-17841.0,49,-12,1,1,1,0,Managers,4,1
5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,49,-12,1,1,1,0,Managers,4,1
5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,49,-12,1,1,1,0,Managers,4,1
5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,44,-3,1,1,1,0,Drivers,3,1
5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,44,-3,1,1,1,0,Drivers,3,1
5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,52,-1,1,0,1,0,Core staff,1,1
5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,52,-1,1,0,1,0,Core staff,1,1
5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,52,-1,1,0,1,0,Core staff,1,1
5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12946.0,35,-7,1,0,0,1,Laborers,3,1
5145690,F,N,Y,0,306000.0,Pensioner,Higher education,Married,House / apartment,-21590.0,59,-4,1,0,0,0,Core staff,2,1
5145817,F,N,Y,0,90000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22011.0,60,-4,1,0,0,0,Core staff,2,1
5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10177.0,28,-1,1,0,0,1,Managers,1,1
5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-12723.0,35,-3,1,1,1,0,Sales staff,3,1
5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20296.0,56,-5,1,0,0,0,Security staff,2,1
5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394.0,39,-3,1,0,1,0,Managers,1,1
5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,47,-3,1,0,0,0,Security staff,2,1
5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,47,-3,1,0,0,0,Security staff,2,1
5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,27,-1,1,0,1,1,Core staff,3,1
5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,27,-1,1,0,1,1,Core staff,3,1
5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17348.0,48,-7,1,0,0,0,Managers,2,1
5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-12387.0,34,-4,1,0,1,1,Medicine staff,2,1
5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-12387.0,34,-4,1,0,1,1,Medicine staff,2,1
5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15749.0,43,-17,1,1,1,0,Cleaning staff,3,0
5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17762.0,49,-7,1,0,0,0,Laborers,2,0
5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12946.0,35,-1,1,0,1,1,Sales staff,2,0
5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-20542.0,56,-26,1,0,1,0,Core staff,2,0
5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16415.0,45,-8,1,0,0,1,Private service staff,3,0
5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14550.0,40,-8,1,0,0,0,Sales staff,3,0
5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,48,-6,1,0,0,0,Laborers,2,0
5054648,F,N,Y,0,112500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-24238.0,66,-4,1,0,0,0,Core staff,1,0
5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11432.0,31,-2,1,1,0,0,Core staff,2,0
5105818,F,N,Y,0,45000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-22072.0,60,-4,1,0,1,0,Core staff,2,0
5033574,F,Y,Y,1,142593.75,Working,Secondary / secondary special,Married,House / apartment,-14222.0,39,0,1,1,1,0,Cooking staff,3,0
5125478,F,N,Y,0,202500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-20661.0,57,-4,1,0,0,0,Core staff,2,0
5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,-10581.0,29,-5,1,1,0,0,Core staff,3,0
5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503.0,59,-5,1,0,0,1,Core staff,2,0
5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14746.0,40,-2,1,0,0,0,Core staff,1,0
5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14756.0,40,-2,1,0,0,0,Core staff,1,0
5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10731.0,29,-2,1,0,0,0,Sales staff,1,0
5048583,F,N,Y,0,135000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21579.0,59,-4,1,0,0,0,Core staff,2,0
5115566,M,N,Y,0,126000.0,Pensioner,Secondary / secondary special,Married,Rented apartment,-16491.0,45,-4,1,0,0,0,Core staff,2,0
5052722,F,N,N,0,126000.0,Pensioner,Secondary / secondary special,Married,House / apartment,-21875.0,60,-4,1,0,0,0,Core staff,2,0
5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,-12555.0,34,-8,1,0,0,0,Core staff,2,0
5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12154.0,33,-4,1,0,0,0,Core staff,2,0
5022275,M,Y,Y,0,131400.0,Pensioner,Secondary / secondary special,Married,House / apartment,-23646.0,65,-4,1,0,0,0,Core staff,2,0
5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-14542.0,40,-9,1,0,0,0,Laborers,2,0
5066709,F,N,Y,0,247500.0,Pensioner,Secondary / secondary special,Widow,House / apartment,-24511.0,67,-4,1,0,0,0,Core staff,1,0
5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,-13315.0,36,-14,1,1,1,0,Core staff,2,0
5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,-17633.0,48,-8,1,0,1,0,Core staff,2,0
