,Ind_ID,GENDER,Car_Owner,Propert_Owner,CHILDREN,Annual_income,Type_Income,EDUCATION,Marital_status,Housing_type,Birthday_count,Employed_days,Mobile_phone,Work_Phone,Phone,EMAIL_ID,Type_Occupation,Family_Members,label
17,5022053,M,N,N,0,202500.0,Working,Higher education,Single / not married,House / apartment,-12811.0,-4327,1,0,0,0,Core staff,1,1
18,5022617,M,Y,Y,0,202500.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12022.0,-1674,1,0,0,1,Laborers,2,1
19,5023781,M,N,Y,0,157500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-17800.0,-1086,1,0,0,0,Accountants,2,1
20,5023831,F,N,Y,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-12135.0,-925,1,0,0,0,Sales staff,4,1
21,5024071,F,N,Y,0,180000.0,Working,Higher education,Married,House / apartment,-15976.0,-854,1,0,0,0,Laborers,2,1
22,5024213,F,Y,Y,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-15702.0,-185,1,0,1,0,Core staff,2,1
23,5028580,M,N,N,0,540000.0,Commercial associate,Higher education,Married,House / apartment,-19996.0,-691,1,0,0,0,Managers,2,1
24,5029028,F,N,Y,0,90000.0,Working,Lower secondary,Single / not married,Rented apartment,-12026.0,-4770,1,0,0,0,Cleaning staff,2,1
25,5033453,F,N,N,0,135000.0,Working,Higher education,Single / not married,House / apartment,-10749.0,-2394,1,0,0,0,Laborers,1,1
26,5033514,F,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-15952.0,-384,1,1,0,0,Sales staff,3,1
27,5033916,M,N,Y,0,180000.0,Working,Secondary / secondary special,Married,House / apartment,-13015.0,-3647,1,0,0,0,Core staff,2,1
28,5036469,M,Y,N,0,112500.0,State servant,Secondary / secondary special,Single / not married,House / apartment,-20333.0,-1546,1,0,0,0,Drivers,2,1
29,5036590,M,Y,Y,0,292500.0,Working,Higher education,Married,House / apartment,-21055.0,-808,1,0,0,0,Drivers,2,1
30,5036795,M,Y,Y,0,215100.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19175.0,-1285,1,0,1,0,Laborers,2,1
31,5041522,M,Y,Y,0,450000.0,Commercial associate,Higher education,Separated,House / apartment,-16169.0,-855,1,1,1,0,Core staff,1,1
32,5042064,F,Y,N,2,270000.0,State servant,Higher education,Married,House / apartment,-16053.0,-7369,1,1,1,0,Core staff,4,1
33,5046324,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15466.0,-2269,1,0,1,0,Low-skill Laborers,3,1
34,5046328,F,N,Y,1,157500.0,Pensioner,Secondary / secondary special,Single / not married,House / apartment,-15466.0,-2269,1,0,1,0,Low-skill Laborers,3,1
35,5047662,F,N,Y,1,67500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18880.0,-4114,1,0,0,0,Accountants,3,1
36,5048300,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,-1161,1,0,0,0,Laborers,3,1
37,5048301,M,Y,N,1,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11091.0,-1161,1,0,0,0,Laborers,3,1
38,5050603,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,-7288,1,1,0,0,Laborers,2,1
39,5050606,M,N,N,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-18327.0,-7288,1,1,0,0,Laborers,2,1
40,5050671,M,N,N,0,171000.0,Commercial associate,Incomplete higher,Single / not married,House / apartment,-11610.0,-166,1,1,1,0,High skill tech staff,1,1
41,5051160,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,-866,1,0,0,0,Laborers,3,1
42,5051161,M,Y,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-9594.0,-866,1,0,0,0,Laborers,3,1
43,5052659,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,-564,1,0,0,1,IT staff,2,1
44,5052661,F,N,Y,0,103500.0,Working,Secondary / secondary special,Married,House / apartment,-10396.0,-564,1,0,0,1,IT staff,2,1
45,5052877,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,2,1
46,5052879,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,2,1
47,5052882,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Married,House / apartment,-17915.0,-3366,1,0,0,0,Drivers,2,1
48,5053254,F,Y,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-18667.0,-2150,1,1,0,0,Managers,2,1
49,5054063,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,-1458,1,0,0,0,Drivers,3,1
50,5054068,M,N,N,1,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16424.0,-1458,1,0,0,0,Drivers,1,1
51,5054524,F,N,N,2,180000.0,Working,Secondary / secondary special,Married,House / apartment,-16611.0,-8369,1,0,0,0,Core staff,4,1
52,5054525,F,N,N,2,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16611.0,-8369,1,0,0,0,Core staff,4,1
53,5058530,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,-508,1,0,0,0,Sales staff,1,1
54,5058531,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-9242.0,-508,1,0,0,0,Sales staff,1,1
55,5058532,M,N,N,0,391500.0,Working,Secondary / secondary special,Single / not married,Municipal apartment,-16047.0,-508,1,0,0,0,Sales staff,1,1
56,5061691,F,N,Y,1,67500.0,Commercial associate,Higher education,Married,House / apartment,-9122.0,-1567,1,0,0,1,Waiters/barmen staff,3,1
57,5062136,M,N,N,1,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,-137,1,0,0,0,Laborers,2,1
58,5062137,M,N,Y,1,187619.32019704435,Working,Secondary / secondary special,Single / not married,House / apartment,-12947.0,-137,1,0,0,0,Laborers,2,1
59,5065348,F,Y,Y,0,202500.0,Working,Higher education,Married,House / apartment,-15160.0,-3974,1,0,0,0,High skill tech staff,2,1
60,5065462,F,N,N,0,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19004.0,-1570,1,0,0,0,Core staff,2,1
61,5065518,F,Y,N,1,202500.0,Working,Higher education,Married,Rented apartment,-9510.0,-2878,1,0,0,0,Laborers,3,1
62,5068389,F,Y,Y,1,270000.0,Working,Higher education,Separated,House / apartment,-14052.0,-140,1,0,1,0,Sales staff,2,1
63,5068456,F,Y,N,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13581.0,-2576,1,0,0,0,Core staff,2,1
64,5069216,F,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-11210.0,-1724,1,1,0,0,Accountants,2,1
65,5069218,F,Y,Y,0,256500.0,Commercial associate,Higher education,Single / not married,House / apartment,-11210.0,-1724,1,1,0,0,Accountants,2,1
66,5069307,M,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15640.0,-1328,1,0,0,0,Core staff,2,1
67,5078820,F,N,N,2,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14476.0,-4987,1,0,0,0,High skill tech staff,4,1
68,5078945,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253.0,-3496,1,1,0,0,Core staff,3,1
69,5078946,F,N,Y,2,180000.0,Working,Incomplete higher,Separated,House / apartment,-12253.0,-3496,1,1,0,0,Core staff,3,1
70,5079166,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,-1394,1,0,0,0,Laborers,2,1
71,5079167,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,-1394,1,0,0,0,Laborers,2,1
72,5079168,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,With parents,-13720.0,-1394,1,0,0,0,Laborers,2,1
73,5085886,M,Y,Y,0,315000.0,Commercial associate,Higher education,Married,House / apartment,-18661.0,-1265,1,0,0,0,Managers,2,1
74,5089162,F,Y,N,0,225000.0,Working,Higher education,Married,House / apartment,-20264.0,-2531,1,1,1,0,Accountants,2,1
75,5089959,M,N,Y,1,126000.0,Commercial associate,Secondary / secondary special,Civil marriage,House / apartment,-12755.0,-2105,1,0,0,0,Core staff,3,1
76,5090166,F,N,Y,1,675000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-15452.0,-860,1,0,0,0,Security staff,2,1
77,5090214,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,-217,1,0,0,0,Laborers,2,1
78,5090216,M,Y,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-10712.0,-217,1,0,0,0,Laborers,2,1
79,5092087,M,Y,Y,2,247500.0,Working,Secondary / secondary special,Married,House / apartment,-17320.0,-535,1,0,0,0,Laborers,4,1
80,5092479,M,N,N,1,85500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-15014.0,-6866,1,0,0,0,Core staff,3,1
81,5096527,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,-584,1,0,0,0,Core staff,1,1
82,5096528,F,N,N,0,135000.0,Working,Secondary / secondary special,Widow,Co-op apartment,-20012.0,-584,1,0,0,0,Core staff,1,1
83,5096743,F,N,Y,0,180000.0,Working,Lower secondary,Widow,House / apartment,-16803.0,-2227,1,1,1,0,Cleaning staff,1,1
84,5097065,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,House / apartment,-18971.0,-8161,1,0,0,0,Managers,2,1
85,5100430,M,Y,N,0,180000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-16310.0,-613,1,0,0,0,Laborers,1,1
86,5105056,M,Y,N,0,224775.0,Commercial associate,Higher education,Single / not married,Municipal apartment,-11528.0,-606,1,0,1,1,High skill tech staff,1,1
87,5106077,F,N,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19764.0,-6944,1,0,0,0,Medicine staff,2,1
88,5113621,M,N,N,0,225000.0,Working,Secondary / secondary special,Widow,Municipal apartment,-19406.0,-346,1,0,0,0,Security staff,1,1
89,5114249,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331.0,-1808,1,1,1,0,Core staff,3,1
90,5114253,M,N,N,1,130500.0,Working,Incomplete higher,Married,Rented apartment,-11331.0,-1808,1,1,1,0,Core staff,3,1
91,5115604,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1
92,5115606,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1
93,5115608,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1
94,5115610,F,N,Y,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1
95,5115611,F,N,Y,0,202500.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14523.0,-3420,1,0,0,0,Core staff,2,1
96,5116035,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,-863,1,1,0,0,Managers,1,1
97,5116036,M,Y,Y,0,126000.0,Working,Higher education,Single / not married,House / apartment,-14522.0,-863,1,1,0,0,Managers,1,1
98,5116258,F,N,Y,4,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17468.0,-7413,1,0,0,0,Core staff,6,1
99,5116906,M,Y,Y,0,211500.0,Pensioner,Secondary / secondary special,Married,House / apartment,-15047.0,-7553,1,0,0,0,Core staff,2,1
100,5117313,F,N,Y,1,157500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-13022.0,-3931,1,1,1,0,Laborers,3,1
101,5118541,F,N,Y,0,72000.0,Working,Secondary / secondary special,Married,House / apartment,-18132.0,-1039,1,0,1,0,Laborers,2,1
102,5125289,F,N,N,1,202500.0,Working,Secondary / secondary special,Separated,House / apartment,-13939.0,-134,1,0,0,0,Laborers,2,1
103,5125708,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,-622,1,0,1,0,High skill tech staff,2,1
104,5125716,F,Y,Y,0,135000.0,Working,Lower secondary,Married,House / apartment,-16413.0,-622,1,0,1,0,High skill tech staff,2,1
105,5125761,M,N,Y,0,270000.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-18020.0,-1595,1,0,0,0,Cooking staff,1,1
106,5125763,M,Y,N,1,135000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-13030.0,-1626,1,0,1,0,Laborers,3,1
107,5125934,F,N,Y,2,135000.0,Commercial associate,Lower secondary,Civil marriage,With parents,-9862.0,-1868,1,1,0,0,Sales staff,4,1
108,5135344,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,-555,1,0,0,0,Security staff,2,1
109,5135345,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,-555,1,0,0,0,Security staff,2,1
110,5135346,M,N,Y,0,112500.0,Commercial associate,Higher education,Married,House / apartment,-20103.0,-555,1,0,0,0,Security staff,2,1
111,5135485,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,-1935,1,0,0,0,Core staff,1,1
112,5135487,F,N,Y,0,135000.0,State servant,Higher education,Single / not married,Municipal apartment,-10660.0,-1935,1,0,0,0,Core staff,1,1
113,5135636,M,Y,Y,0,195750.0,Working,Secondary / secondary special,Married,House / apartment,-18836.0,-931,1,1,1,0,Laborers,2,1
114,5135990,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,-900,1,0,0,0,Managers,2,1
115,5135991,F,N,Y,1,585000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10430.0,-900,1,0,0,0,Managers,2,1
116,5142183,M,Y,Y,2,356029.4117647059,Commercial associate,Higher education,Married,House / apartment,-17841.0,-4305,1,1,1,0,Managers,4,1
117,5142184,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,-4305,1,1,1,0,Managers,4,1
118,5142185,M,Y,Y,2,450000.0,Commercial associate,Higher education,Married,House / apartment,-17841.0,-4305,1,1,1,0,Managers,4,1
119,5142361,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,-925,1,1,1,0,Drivers,3,1
120,5142362,M,Y,Y,1,112500.0,Working,Secondary / secondary special,Married,House / apartment,-16204.0,-925,1,1,1,0,Drivers,3,1
121,5142456,F,N,N,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,-499,1,0,1,0,Core staff,1,1
122,5142458,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,-499,1,0,1,0,Core staff,1,1
123,5142459,F,N,Y,0,67500.0,Commercial associate,Higher education,Separated,House / apartment,-18952.0,-499,1,0,1,0,Core staff,1,1
124,5143342,M,N,N,1,216000.0,Working,Secondary / secondary special,Married,Municipal apartment,-12946.0,-2418,1,0,0,1,Laborers,3,1
125,5146005,M,Y,Y,0,225000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-10177.0,-189,1,0,0,1,Managers,1,1
126,5146079,F,N,Y,1,108000.0,Working,Secondary / secondary special,Married,House / apartment,-12723.0,-1132,1,1,1,0,Sales staff,3,1
127,5146167,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-20296.0,-1770,1,0,0,0,Security staff,2,1
128,5146444,F,N,Y,0,135000.0,Working,Secondary / secondary special,Widow,House / apartment,-14394.0,-919,1,0,1,0,Managers,1,1
129,5148932,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,-1081,1,0,0,0,Security staff,2,1
130,5148934,M,Y,N,0,108000.0,Working,Secondary / secondary special,Married,Office apartment,-17209.0,-1081,1,0,0,0,Security staff,2,1
131,5149188,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,-502,1,0,1,1,Core staff,3,1
132,5149190,M,Y,N,1,450000.0,Working,Higher education,Married,House / apartment,-9847.0,-502,1,0,1,1,Core staff,3,1
133,5149828,M,Y,Y,0,315000.0,Working,Secondary / secondary special,Married,House / apartment,-17348.0,-2420,1,0,0,0,Managers,2,1
134,5149834,F,N,Y,0,157500.0,Commercial associate,Higher education,Married,House / apartment,-12387.0,-1325,1,0,1,1,Medicine staff,2,1
135,5149838,F,N,Y,0,157500.0,Pensioner,Higher education,Married,House / apartment,-12387.0,-1325,1,0,1,1,Medicine staff,2,1
136,5118538,F,N,Y,1,81000.0,Working,Secondary / secondary special,Married,Municipal apartment,-15749.0,-6367,1,1,1,0,Cleaning staff,3,0
137,5069057,M,Y,N,0,225000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-17762.0,-2484,1,0,0,0,Laborers,2,0
138,5066689,F,N,Y,0,180000.0,Commercial associate,Higher education,Civil marriage,House / apartment,-12946.0,-341,1,0,1,1,Sales staff,2,0
139,5086062,F,N,Y,0,135000.0,State servant,Secondary / secondary special,Married,House / apartment,-20542.0,-9422,1,0,1,0,Core staff,2,0
140,5113717,F,N,N,1,135000.0,Working,Secondary / secondary special,Married,House / apartment,-16415.0,-3054,1,0,0,1,Private service staff,3,0
141,5066765,F,N,Y,1,63000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-14550.0,-2987,1,0,0,0,Sales staff,3,0
142,5105227,F,N,Y,0,135000.0,Working,Secondary / secondary special,Married,House / apartment,-17365.0,-2128,1,0,0,0,Laborers,2,0
143,5067187,F,N,Y,0,112500.0,Working,Higher education,Married,House / apartment,-11432.0,-820,1,1,0,0,Core staff,2,0
144,5033574,F,Y,Y,1,142593.75,Working,Secondary / secondary special,Married,House / apartment,-14222.0,-141,1,1,1,0,Cooking staff,3,0
145,5046340,M,N,Y,1,180000.0,Working,Lower secondary,Married,House / apartment,-10581.0,-1692,1,1,0,0,Core staff,3,0
146,5022326,M,Y,Y,0,256500.0,Commercial associate,Higher education,Married,House / apartment,-21503.0,-1674,1,0,0,1,Core staff,2,0
147,5065764,F,N,Y,0,90000.0,Working,Secondary / secondary special,Single / not married,House / apartment,-14746.0,-693,1,0,0,0,Core staff,1,0
148,5067849,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-14756.0,-567,1,0,0,0,Core staff,1,0
149,5097169,F,N,N,0,90000.0,Commercial associate,Secondary / secondary special,Single / not married,House / apartment,-10731.0,-885,1,0,0,0,Sales staff,1,0
150,5067723,F,N,Y,1,337500.0,Working,Academic degree,Single / not married,House / apartment,-12555.0,-2769,1,0,0,0,Core staff,2,0
151,5056077,M,Y,Y,0,90000.0,Working,Secondary / secondary special,Married,House / apartment,-12154.0,-1547,1,0,0,0,Core staff,2,0
152,5143016,M,N,N,0,180000.0,Commercial associate,Secondary / secondary special,Civil marriage,Rented apartment,-14542.0,-3179,1,0,0,0,Laborers,2,0
153,5021445,F,N,Y,0,121500.0,Working,Secondary / secondary special,Married,With parents,-13315.0,-5204,1,1,1,0,Core staff,2,0
154,5053592,F,N,Y,1,117000.0,Working,Lower secondary,Widow,House / apartment,-17633.0,-3072,1,0,1,0,Core staff,2,0
155,5116163,F,N,Y,2,90000.0,Working,Secondary / secondary special,Married,House / apartment,-9899.0,-320,1,0,0,0,Security staff,4,0
156,5041273,M,N,Y,0,445500.0,Commercial associate,Higher education,Separated,House / apartment,-19298.0,-2469,1,0,0,0,Core staff,1,0
157,5066627,M,Y,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-16047.0,-583,1,0,0,0,Core staff,2,0
158,5125399,M,Y,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-10066.0,-834,1,0,0,0,Laborers,2,0
159,5067345,F,Y,N,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-16541.0,-1085,1,0,1,0,Core staff,2,0
160,5053711,F,Y,N,2,157500.0,Commercial associate,Incomplete higher,Married,House / apartment,-12857.0,-1399,1,0,0,1,Core staff,4,0
161,5096234,F,N,N,0,117000.0,Working,Secondary / secondary special,Married,House / apartment,-17087.0,-7310,1,1,1,0,Medicine staff,2,0
162,5125158,M,N,Y,1,234000.0,Working,Secondary / secondary special,Married,House / apartment,-11970.0,-1748,1,0,0,0,Laborers,3,0
163,5143231,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10142.0,-2479,1,0,0,0,Managers,2,0
164,5062688,M,Y,Y,0,247500.0,State servant,Secondary / secondary special,Married,Municipal apartment,-20112.0,-875,1,1,0,1,High skill tech staff,2,0
165,5105685,F,N,Y,2,144000.0,Working,Secondary / secondary special,Married,House / apartment,-14132.0,-2805,1,1,1,0,Private service staff,4,0
166,5115984,M,Y,Y,2,180000.0,Working,Higher education,Married,House / apartment,-13174.0,-2477,1,0,0,0,Managers,4,0
167,5085769,F,N,Y,0,180000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-19310.0,-1477,1,0,0,0,Cleaning staff,2,0
168,5065363,F,N,Y,1,216000.0,Working,Higher education,Single / not married,House / apartment,-10512.0,-1782,1,0,1,0,Core staff,2,0
169,5140074,F,N,Y,0,90000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-15124.0,-431,1,0,0,0,Core staff,2,0
170,5091963,M,Y,N,0,180000.0,Working,Secondary / secondary special,Married,Municipal apartment,-18809.0,-1416,1,1,0,0,Drivers,2,0
171,5067149,M,N,N,2,225000.0,Working,Incomplete higher,Married,House / apartment,-13969.0,-263,1,0,0,0,Core staff,4,0
172,5096424,M,Y,N,0,270000.0,Commercial associate,Higher education,Separated,House / apartment,-11621.0,-2349,1,0,1,0,Core staff,1,0
173,5029348,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-10942.0,-412,1,0,0,0,Drivers,2,0
174,5096061,F,N,N,2,73350.0,Working,Secondary / secondary special,Married,House / apartment,-14321.0,-7068,1,0,0,0,Medicine staff,4,0
175,5028917,F,Y,Y,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-17202.0,-1787,1,0,0,0,Sales staff,2,0
176,5117778,F,Y,N,0,144000.0,Working,Secondary / secondary special,Widow,House / apartment,-14407.0,-1345,1,0,0,0,HR staff,1,0
177,5095310,F,Y,Y,0,225000.0,Working,Higher education,Married,House / apartment,-12322.0,-3717,1,0,0,0,Core staff,2,0
178,5050655,F,N,N,0,112500.0,Working,Secondary / secondary special,Married,House / apartment,-14667.0,-1048,1,1,1,0,Accountants,2,0
179,5033817,F,Y,N,1,292500.0,State servant,Higher education,Married,House / apartment,-16010.0,-2667,1,0,1,0,Core staff,3,0
180,5052963,M,Y,Y,0,135000.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-9984.0,-2606,1,0,0,0,Laborers,2,0
181,5113159,M,Y,Y,0,157500.0,Commercial associate,Secondary / secondary special,Single / not married,Municipal apartment,-9862.0,-2135,1,1,0,0,Laborers,1,0
182,5143235,F,Y,Y,1,1575000.0,Commercial associate,Higher education,Single / not married,House / apartment,-10142.0,-2479,1,0,0,0,Managers,2,0
183,5132800,F,N,Y,0,157500.0,Working,Secondary / secondary special,Separated,House / apartment,-18540.0,-1534,1,0,0,0,Sales staff,1,0
184,5090549,F,N,Y,0,157500.0,Working,Secondary / secondary special,Married,House / apartment,-15241.0,-2531,1,0,0,0,Core staff,2,0
185,5054522,F,Y,Y,1,135000.0,Working,Higher education,Married,House / apartment,-10014.0,-2311,1,0,0,0,Core staff,3,0
186,5051061,F,N,N,2,112500.0,Commercial associate,Secondary / secondary special,Married,House / apartment,-11945.0,-1323,1,0,1,0,Core staff,4,0
187,5010707,M,Y,N,0,202500.0,Working,Secondary / secondary special,Married,House / apartment,-15862.0,-5061,1,0,1,0,Drivers,2,0
188,5028984,F,N,Y,0,193500.0,Working,Secondary / secondary special,Separated,House / apartment,-19063.0,-2213,1,1,1,1,Laborers,1,0
189,5126034,F,Y,Y,0,108000.0,Working,Secondary / secondary special,Separated,House / apartment,-17171.0,-925,1,0,0,1,Cleaning staff,1,0
190,5090470,M,N,Y,1,900000.0,Working,Secondary / secondary special,Married,House / apartment,-15380.0,-4509,1,0,0,0,Laborers,3,0
191,5021775,F,N,Y,0,292500.0,Commercial associate,Higher education,Civil marriage,House / apartment,-14522.0,-1552,1,0,0,0,Laborers,2,0
192,5046415,M,Y,Y,0,270000.0,Working,Higher education,Married,House / apartment,-14466.0,-1569,1,0,1,0,Core staff,2,0
193,5117314,M,N,Y,1,292500.0,Working,Secondary / secondary special,Married,House / apartment,-16632.0,-1679,1,0,0,0,Laborers,3,0
194,5009195,F,N,N,0,292500.0,State servant,Secondary / secondary special,Married,House / apartment,-20953.0,-8684,1,1,1,0,Accountants,2,0
195,5139548,F,Y,Y,2,157500.0,Commercial associate,Higher education,Married,House / apartment,-13584.0,-6337,1,0,1,0,Medicine staff,4,0
